GeneNames,value1,value2,log2FC,p-value
LOC_Os06g44370.1,9,5,0.847996907,0.180235928
LOC_Os05g23740.1,156,87,0.842458723,1.22E-09
LOC_Os11g10480.2,34,19,0.839535328,0.005332143
LOC_Os09g34970.1,25,14,0.836501268,0.015813714
LOC_Os03g15350.1,16,9,0.830074999,0.068697452
LOC_Os03g04169.1,21,12,0.807354922,0.034805922
LOC_Os09g07380.1,7,4,0.807354922,0.236131083
LOC_Os08g45010.1,143,82,0.802319332,1.78E-08
LOC_Os03g52170.1,66,38,0.796466606,0.000152037
LOC_Os03g22430.1,33,19,0.796466606,0.007646243
LOC_Os07g36140.1,26,15,0.793549123,0.01810912
LOC_Os07g36470.1,71,41,0.792195115,8.30E-05
LOC_Os02g07260.2,173,100,0.790772038,7.26E-10
LOC_Os05g36290.1,38,22,0.788495895,0.004093658
LOC_Os12g29660.1,19,11,0.788495895,0.044078585
LOC_Os06g02240.1,12,7,0.777607579,0.112436005
LOC_Os05g04630.1,65,38,0.7744403,0.000212966
LOC_Os05g37690.1,29,17,0.770518154,0.016718501
LOC_Os05g05230.1,34,20,0.765534746,0.0087585
LOC_Os02g47650.1,17,10,0.765534746,0.079587262
LOC_Os03g04440.2,39,23,0.761840263,0.004655721
LOC_Os07g08840.1,66,39,0.7589919,0.000243802
LOC_Os01g06310.1,22,13,0.7589919,0.040037529
LOC_Os07g09600.1,71,42,0.757429697,0.000132417
LOC_Os01g08700.1,123,73,0.752689946,3.91E-07
LOC_Os06g06560.1,75,45,0.736965594,0.000100781
LOC_Os01g67290.1,10,6,0.736965594,0.208154891
LOC_Os02g51110.1,5,3,0.736965594,0.479936728
LOC_Os02g41590.1,88,53,0.731511164,2.80E-05
LOC_Os03g06740.1,48,29,0.726981506,0.002636694
LOC_Os02g11050.1,99,60,0.722466024,9.61E-06
LOC_Os11g09280.1,56,34,0.719892081,0.00093657
LOC_Os03g52150.1,28,17,0.719892081,0.023523162
LOC_Os03g24339.1,23,14,0.716207034,0.045733925
LOC_Os08g31470.1,64,39,0.714597781,0.000466417
LOC_Os05g50840.1,36,22,0.710493383,0.008213546
LOC_Os03g51900.1,18,11,0.710493383,0.063844254
LOC_Os03g61130.1,75,46,0.705256734,0.000156526
LOC_Os03g39640.2,26,16,0.700439718,0.029234356
LOC_Os04g02830.1,13,8,0.700439718,0.127354429
LOC_Os02g07120.1,34,21,0.695145418,0.013926632
LOC_Os10g32920.1,21,13,0.691877705,0.056715665
LOC_Os06g45120.1,121,75,0.690044547,1.76E-06
LOC_Os06g13810.3,58,36,0.688055994,0.001182435
LOC_Os12g41400.1,29,18,0.688055994,0.026663284
LOC_Os02g02290.1,82,51,0.685126663,0.000108111
LOC_Os03g03910.1,125,78,0.680382066,1.80E-06
LOC_Os08g32850.1,40,25,0.678071905,0.008298413
LOC_Os01g52250.4,501,315,0.669458775,1.05E-21
LOC_Os02g01490.1,19,12,0.662965013,0.071394961
LOC_Os05g41900.3,30,19,0.658963082,0.021536277
LOC_Os05g33390.1,52,33,0.656045599,0.002991386
LOC_Os05g49890.3,107,68,0.654004145,1.29E-05
LOC_Os06g47890.2,33,21,0.652076697,0.019232425
LOC_Os02g38980.3,22,14,0.652076697,0.063757875
LOC_Os10g39790.3,11,7,0.652076697,0.235040862
LOC_Os04g32020.3,105,67,0.648156327,2.10E-05
LOC_Os03g03610.2,36,23,0.646363045,0.012703412
LOC_Os01g18630.1,75,48,0.64385619,0.000363341
LOC_Os02g37080.1,25,16,0.64385619,0.040946185
LOC_Os01g17180.1,39,25,0.641546029,0.011373893
LOC_Os11g41900.1,28,18,0.637429921,0.036729892
LOC_Os05g50550.1,14,9,0.637429921,0.142743641
LOC_Os03g48140.1,54,35,0.625604485,0.002707749
LOC_Os05g40420.1,37,24,0.624490865,0.014027972
LOC_Os09g35710.2,20,13,0.621488377,0.079442195
LOC_Os02g47510.1,43,28,0.618909833,0.008321426
LOC_Os11g26910.1,46,30,0.61667136,0.007537553
LOC_Os04g50660.1,23,15,0.61667136,0.051746137
LOC_Os07g32570.2,49,32,0.614709844,0.004967362
LOC_Os07g34570.1,505,330,0.613817363,4.84E-20
LOC_Os11g11000.3,78,51,0.612976877,0.00036382
LOC_Os03g22490.2,26,17,0.612976877,0.045385439
LOC_Os09g28390.1,29,19,0.610053482,0.029903036
LOC_Os06g07830.1,32,21,0.607682577,0.026362424
LOC_Os02g55140.1,70,46,0.605721061,0.000738724
LOC_Os07g31370.1,35,23,0.605721061,0.017498898
LOC_Os07g01760.1,144,95,0.600069393,1.69E-06
LOC_Os12g08810.1,62,41,0.596644306,0.001978863
LOC_Os04g57300.1,74,49,0.594743522,0.000725484
LOC_Os02g07870.1,116,77,0.591194454,1.75E-05
LOC_Os05g49200.1,131,87,0.590479506,5.90E-06
LOC_Os09g38030.1,54,36,0.584962501,0.004018992
LOC_Os03g51650.1,39,26,0.584962501,0.017099834
LOC_Os01g01790.1,33,22,0.584962501,0.02911506
LOC_Os02g34510.1,30,20,0.584962501,0.032753145
LOC_Os02g52250.1,27,18,0.584962501,0.050168757
LOC_Os05g01560.1,9,6,0.584962501,0.30055112
LOC_Os06g23160.1,6,4,0.584962501,0.357888847
LOC_Os03g39407.1,3,2,0.584962501,0.662011918
LOC_Os02g13840.1,116,78,0.572578776,2.53E-05
