rank,gene,log2fc,pvalue
406,NPIPB8,0.178469984,0.541767413
407,NDST2,0.179126672,0.849176898
408,EBP,0.182343776,0.346928309
409,LDLRAD2,0.183244848,0.694422056
410,SLC9A3,0.191547669,0.575262397
411,ATG4A,0.192262088,0.217750389
412,GOLPH3L,0.192370038,0.08258933
413,DBF4B,0.193258956,0.316624759
414,DIP2B,0.228004179,0.03982402
415,MASP1,0.228475043,0.006595037
416,CDYL,0.23365368,0.063447219
417,ZNF33B,0.235605807,0.090123891
418,ZNF814,0.237786724,0.182672728
419,MED12,0.242201041,0.016213303
420,UNC79,0.261175361,0.6276076
421,SYNPO,0.261250459,0.028055352
422,MAGEH1,0.262247861,0.022806395
423,SUOX,0.263206985,0.074353997
424,CRMP1,0.264149033,0.032605373
425,TIAM2,0.292120573,0.111791908
426,YIPF2,0.292572184,0.009004812
427,DCLRE1A,0.305555806,0.083300338
428,CSTF3,0.307632054,0.021104844
429,PMS2,0.308224587,0.016120254
430,NPAS1,0.31127028,0.615420322
431,TARBP1,0.31371492,0.044723435
432,CNTD2,0.314710011,0.744081938
433,KLK14,0.315328962,0.824687162
434,ZNF570,0.321021697,0.133040342
435,RELB,0.328752142,0.098600376
436,TNFRSF14,0.329858578,0.005539866
437,PUS10,0.330163952,0.087203407
438,ADH7,0.330693175,0.831912107
439,KCNIP2,0.330702648,0.429223819
440,ARHGEF9,0.336074645,0.00241975
441,SP2-AS1,0.373926384,0.248742277
442,ZBTB18,0.374392739,0.01602798
443,COA1,0.374760094,0.001980449
444,TSPAN6,0.381227158,0.000153286
445,DNAH12,0.391148607,0.694834208
446,APOM,0.39203582,0.194168334
447,LIG3,0.392552077,0.021734012
448,CDK15,0.394661248,0.11415292
449,ZFP37,0.400027608,0.113397015
450,NEU1,0.409763662,0.000173576
451,AGAP9,0.413255089,0.008978992
452,UBBP4,0.435615028,0.000744762
453,RALGPS1,0.436473003,0.027113723
454,RNASET2,0.437410678,0.034576613
455,TAS2R4,0.440901227,0.621507136
456,RNF175,0.441457534,0.376188634
457,SLC16A14,0.443501908,0.158792456
458,BLOC1S2,0.444808943,0.000156304
459,MYO1F,0.450875474,0.285551553
460,PRPSAP2,0.452384108,0.010660445
461,DNAJC28,0.453464003,0.35530288
462,LRRC20,0.454569108,0.003102077
463,ZNF260,0.462011909,0.000137488
464,CERS4,0.464542661,0.007881605
465,LINC01686,0.464783476,0.626164877
466,ZNF571,0.465090335,0.079030101
467,WEE2,0.473495367,0.721580492
468,DPCD,0.481380497,0.001077332
469,CNGA4,0.492669284,0.655110563
470,MYLIP,0.497605134,5.77E-05
471,TNXB,0.500105157,1.50E-05
472,CUL7,0.509585241,1.61E-06
473,PRKG1,0.516403582,4.07E-08
474,DACT3,0.516908571,0.000404708
475,ACER2,0.518486034,0.133073694
476,SARS,0.536452718,5.96E-09
477,CACNA1C,0.566040372,6.43E-06
478,TTC8,0.567282112,2.01E-08
479,IMPG2,0.57121713,0.346366289
480,OTUB2,0.572552225,0.030679279
481,TAS2R31,0.574398218,0.547726971
482,ZNF596,0.577304038,0.00655863
483,PODXL2,0.578169123,0.099145533
484,ZNF559-ZNF177,0.581753896,0.642831583
485,ZNF248,0.584838458,0.000324917
486,ZNF665,0.588061112,0.025625984
487,MILR1,0.598229288,0.194206715
488,CDK20,0.599776339,0.003150239
489,FTCDNL1,0.601330078,0.288431576
490,LRCH1,0.612015174,1.26E-07
491,ZNF711,0.61322426,0.221670534
492,SCARA3,0.613631689,1.37E-07
493,TRIM16,0.614371014,0.000926468
494,TMEM130,0.622639418,0.000950015
495,TOLLIP-AS1,0.622656762,0.33389855
496,FTL,0.624284053,1.47E-12
497,CRYBG3,0.631934874,7.46E-08
498,HAUS5,0.635835211,0.000157246
499,CACNB4,0.637641211,0.020112131
500,ADAM11,0.641344749,0.053965835
501,XRRA1,0.642791987,0.000100022
502,APLP1,0.64726211,0.002627596
503,ADNP-AS1,0.653958475,0.155031981
504,PLEK,0.6586723,0.673701755
505,NSUN6,0.660644379,0.009593588
506,LOC112268098,0.668791212,0.460353626
507,EPHX4,0.67088311,0.316286414
508,CASP17P,0.677021307,0.090201715
509,TRIM17,0.680000401,0.044090526
510,GPRIN3,0.680859302,0.654418453
511,SOX7,0.681475757,0.648325529
512,GPR85,0.681714331,0.061720047
513,PGM5P4-AS1,0.687724253,0.005638878
514,INSYN2B,0.694386453,0.031102945
515,TTC36,0.698692049,0.60254071
516,SREBF1,0.698834745,6.40E-09
517,ARHGAP31,0.702618108,8.39E-08
